TimeStampMillis,TimeStampFormatted,Wifi_A,Wifi_A_5G,Wifi_D_5G,Wifi_C_5G,Wifi_B_5G,Wifi_D,Wifi_B,Wifi_C
"1,69149E+12",(08/08/2023)_16/12/36,1.0,0.92,0.4,0.75,0.25,0.92,0.5,0.73
"1,69149E+12",(08/08/2023)_16/13/43,1.0,0.73,0.6,0.25,0.25,0.69,0.1,0.91
"1,69149E+12",(08/08/2023)_16/12/42,0.92,0.96,0.2,0.25,0.25,1.0,0.9,0.82
"1,69149E+12",(08/08/2023)_16/14/11,0.95,0.73,0.6,0.5,0.25,0.69,0.5,0.82
"1,69149E+12",(08/08/2023)_16/12/21,0.98,0.96,0.0,0.25,0.0,0.15,0.4,0.91
"1,69149E+12",(08/08/2023)_16/16/06,0.0,0.96,0.4,0.0,0.25,0.38,0.3,0.0
"1,69149E+12",(08/08/2023)_16/12/45,0.95,0.88,0.4,0.5,0.25,1.0,0.0,0.64
"1,69149E+12",(08/08/2023)_16/13/23,0.95,0.77,0.4,0.5,0.25,0.77,0.3,0.91
"1,69149E+12",(08/08/2023)_16/12/55,0.98,0.65,0.8,0.5,0.0,0.69,0.2,0.73
"1,69149E+12",(08/08/2023)_16/12/52,0.95,0.58,0.2,0.5,0.25,0.46,0.8,1.0
"1,69149E+12",(08/08/2023)_16/13/17,0.95,0.73,0.8,0.5,0.25,0.69,0.3,0.91
"1,69149E+12",(08/08/2023)_16/12/42,0.92,0.96,0.2,0.25,0.25,1.0,0.9,0.82
"1,69149E+12",(08/08/2023)_16/13/33,0.95,0.62,1.0,0.25,0.25,0.77,1.0,0.91
"1,69149E+12",(08/08/2023)_16/12/21,0.98,0.96,0.0,0.25,0.0,0.15,0.4,0.91
"1,69149E+12",(08/08/2023)_16/15/55,0.95,0.81,0.0,0.25,0.25,0.62,0.0,0.91
"1,69149E+12",(08/08/2023)_16/15/21,0.95,0.81,0.6,0.5,0.25,0.69,0.4,1.0
"1,69149E+12",(08/08/2023)_16/15/27,0.95,0.77,0.6,0.25,0.25,0.69,0.2,0.82
"1,69149E+12",(08/08/2023)_16/13/17,0.95,0.73,0.8,0.5,0.25,0.69,0.3,0.91
"1,69149E+12",(08/08/2023)_16/15/48,0.92,0.0,0.4,0.5,0.0,0.92,0.3,1.0
"1,69149E+12",(08/08/2023)_16/14/44,0.95,0.81,0.4,0.5,0.25,0.85,0.2,0.91
"1,69149E+12",(08/08/2023)_16/14/54,0.95,0.73,0.4,0.75,0.5,0.77,0.3,0.91
"1,69149E+12",(08/08/2023)_16/16/13,0.98,0.96,0.6,0.75,1.0,0.31,0.8,1.0
"1,69149E+12",(08/08/2023)_16/15/06,0.95,0.81,0.4,0.5,0.25,0.77,0.2,0.82
"1,69149E+12",(08/08/2023)_16/14/50,0.98,0.77,0.4,0.25,0.25,0.69,0.2,0.91
"1,69149E+12",(08/08/2023)_16/12/21,0.98,0.96,0.0,0.25,0.0,0.15,0.4,0.91
"1,69149E+12",(08/08/2023)_16/12/49,0.95,0.88,0.8,0.5,0.25,0.77,0.7,0.82
"1,69149E+12",(08/08/2023)_16/16/16,0.9,1.0,0.4,0.25,0.5,0.77,0.4,0.45
"1,69149E+12",(08/08/2023)_16/13/23,0.95,0.77,0.4,0.5,0.25,0.77,0.3,0.91
"1,69149E+12",(08/08/2023)_16/12/45,0.95,0.88,0.4,0.5,0.25,1.0,0.0,0.64
"1,69149E+12",(08/08/2023)_16/16/13,0.98,0.96,0.6,0.75,1.0,0.31,0.8,1.0
"1,69149E+12",(08/08/2023)_16/16/19,0.92,0.69,0.4,0.0,0.25,0.23,0.1,0.82
"1,69149E+12",(08/08/2023)_16/16/10,0.92,0.88,1.0,1.0,0.25,0.0,0.5,0.91
"1,69149E+12",(08/08/2023)_16/15/21,0.95,0.81,0.6,0.5,0.25,0.69,0.4,1.0
"1,69149E+12",(08/08/2023)_16/12/33,0.9,0.92,0.2,0.5,0.25,0.85,0.4,0.91
"1,69149E+12",(08/08/2023)_16/13/07,0.95,0.73,0.6,0.75,0.25,0.92,0.4,0.91
"1,69149E+12",(08/08/2023)_16/14/23,0.92,0.77,0.8,0.5,0.25,0.62,0.4,0.73
"1,69149E+12",(08/08/2023)_16/14/29,0.98,0.77,0.2,0.25,0.0,1.0,0.4,0.82
"1,69149E+12",(08/08/2023)_16/15/30,0.98,0.73,0.4,0.75,0.25,0.69,0.2,0.82
"1,69149E+12",(08/08/2023)_16/13/23,0.95,0.77,0.4,0.5,0.25,0.77,0.3,0.91
"1,69149E+12",(08/08/2023)_16/14/32,0.95,0.81,0.4,0.75,0.5,0.92,0.5,0.73
"1,69149E+12",(08/08/2023)_16/13/55,0.98,0.73,0.8,0.75,0.25,0.62,0.3,0.91
"1,69149E+12",(08/08/2023)_16/13/33,0.95,0.62,1.0,0.25,0.25,0.77,1.0,0.91
