TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_15/19/15,-42,-42,-48,-45,-43,-42,-43,-43
"1,69148E+12",(08/08/2023)_15/20/35,-42,-38,-48,-45,-42,-43,-43,-41
"1,69148E+12",(08/08/2023)_15/20/15,-42,-39,-48,-45,-41,-44,-44,-40
"1,69148E+12",(08/08/2023)_15/19/39,-46,-44,-47,-44,-44,-44,-42,-45
"1,69148E+12",(08/08/2023)_15/21/33,-42,-40,-49,-47,-42,-43,-40,-43
"1,69148E+12",(08/08/2023)_15/18/01,-43,-39,-49,-45,-42,-44,-44,-40
"1,69148E+12",(08/08/2023)_15/18/37,-43,-39,-49,-45,-42,-44,-44,-44
"1,69148E+12",(08/08/2023)_15/18/55,-42,-40,-48,-46,-43,-44,-44,-44
"1,69148E+12",(08/08/2023)_15/21/31,-43,-39,-48,-45,-41,-44,-45,-41
"1,69148E+12",(08/08/2023)_15/20/23,-43,-40,-48,-45,-42,-43,-44,-43
"1,69148E+12",(08/08/2023)_15/20/45,-43,-39,-49,-45,-42,-43,-43,-42
"1,69148E+12",(08/08/2023)_15/17/25,-43,-40,-49,-46,-43,-42,-43,-44
"1,69148E+12",(08/08/2023)_15/17/33,-43,-39,-48,-46,-41,-43,-44,-44
"1,69148E+12",(08/08/2023)_15/20/39,-42,-40,-49,-44,-42,-44,-43,-43
"1,69148E+12",(08/08/2023)_15/17/07,-52,-48,-48,-44,-42,-45,-43,-43
"1,69148E+12",(08/08/2023)_15/17/03,-53,-51,-49,-52,-43,-45,-41,-44
"1,69148E+12",(08/08/2023)_15/19/03,-42,-40,-49,-44,-42,-42,-44,-42
"1,69148E+12",(08/08/2023)_15/19/45,-44,-37,-48,-45,-41,-42,-43,-39
"1,69148E+12",(08/08/2023)_15/20/11,-38,-39,-49,-45,-42,-43,-43,-44
"1,69148E+12",(08/08/2023)_15/17/57,-43,-39,-48,-45,-42,-43,-43,-43
"1,69148E+12",(08/08/2023)_15/19/31,-44,-39,-48,-46,-42,-43,-43,-43
"1,69148E+12",(08/08/2023)_15/21/07,-43,-39,-48,-46,-42,-44,-43,-40
"1,69148E+12",(08/08/2023)_15/20/11,-38,-39,-49,-45,-42,-43,-43,-44
"1,69148E+12",(08/08/2023)_15/17/19,-52,-45,-47,-42,-43,-45,-46,-45
"1,69148E+12",(08/08/2023)_15/17/23,-50,-46,-52,-47,-40,-41,-44,-41
"1,69148E+12",(08/08/2023)_15/19/01,-42,-39,-49,-46,-42,-43,-44,-44
"1,69148E+12",(08/08/2023)_15/20/41,-43,-41,-48,-45,-41,-43,-43,-42
"1,69148E+12",(08/08/2023)_15/17/43,-43,-40,-48,-45,-42,-43,-44,-44
"1,69148E+12",(08/08/2023)_15/20/15,-42,-39,-48,-45,-41,-44,-44,-40
"1,69148E+12",(08/08/2023)_15/17/13,-48,-46,-47,-47,-41,-42,-47,-43
"1,69148E+12",(08/08/2023)_15/19/13,-43,-39,-48,-44,-42,-42,-43,-44
"1,69148E+12",(08/08/2023)_15/17/03,-53,-51,-49,-52,-43,-45,-41,-44
"1,69148E+12",(08/08/2023)_15/18/07,-42,-39,-49,-46,-42,-43,-44,-44
"1,69148E+12",(08/08/2023)_15/20/29,-43,-40,-49,-45,-42,-44,-43,-42
"1,69148E+12",(08/08/2023)_15/17/19,-52,-45,-47,-42,-43,-45,-46,-45
"1,69148E+12",(08/08/2023)_15/17/27,-43,-39,-49,-46,-39,-42,-44,-44
"1,69148E+12",(08/08/2023)_15/17/53,-43,-40,-48,-45,-41,-44,-44,-42
"1,69148E+12",(08/08/2023)_15/19/47,-43,-40,-49,-46,-41,-43,-44,-42
"1,69148E+12",(08/08/2023)_15/18/05,-43,-37,-48,-45,-43,-43,-45,-45
"1,69148E+12",(08/08/2023)_15/18/19,-43,-38,-48,-46,-42,-44,-44,-43
"1,69148E+12",(08/08/2023)_15/16/59,-50,-46,-49,-47,-42,-44,-40,-46
"1,69148E+12",(08/08/2023)_15/19/05,-42,-42,-48,-45,-41,-44,-44,-42
