TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_14/47/13,-39,-36,-52,-57,-44,-39,-51,-43
"1,69148E+12",(08/08/2023)_14/50/02,-39,-39,-52,-55,-42,-37,-51,-45
"1,69148E+12",(08/08/2023)_14/49/16,-40,-39,-51,-59,-44,-39,-51,-44
"1,69148E+12",(08/08/2023)_14/45/59,-39,-37,-49,-59,-43,-36,-51,-45
"1,69148E+12",(08/08/2023)_14/46/36,-39,-43,-50,-56,-46,-38,-52,-42
"1,69148E+12",(08/08/2023)_14/47/04,-40,-37,-53,-57,-44,-38,-52,-42
"1,69148E+12",(08/08/2023)_14/48/05,-40,-37,-49,-55,-43,-39,-53,-43
"1,69148E+12",(08/08/2023)_14/46/24,-45,-37,-55,-49,-42,-40,-51,-43
"1,69148E+12",(08/08/2023)_14/46/05,-39,-39,-50,-56,-48,-37,-56,-44
"1,69148E+12",(08/08/2023)_14/49/41,-38,-36,-51,-55,-45,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/45/56,-41,-42,-54,-50,-42,-36,-50,-45
"1,69148E+12",(08/08/2023)_14/49/32,-45,-39,-51,-57,-43,-38,-53,-43
"1,69148E+12",(08/08/2023)_14/46/51,-42,-37,-51,-57,-45,-36,-53,-46
"1,69148E+12",(08/08/2023)_14/47/32,-39,-37,-51,-57,-44,-37,-52,-46
"1,69148E+12",(08/08/2023)_14/48/08,-39,-38,-51,-55,-45,-37,-51,-44
"1,69148E+12",(08/08/2023)_14/48/17,-39,-38,-51,-57,-42,-38,-52,-42
"1,69148E+12",(08/08/2023)_14/48/14,-39,-38,-49,-59,-46,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/49/41,-38,-36,-51,-55,-45,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/47/44,-40,-37,-51,-58,-47,-38,-53,-43
"1,69148E+12",(08/08/2023)_14/47/26,-41,-36,-51,-55,-44,-37,-51,-47
"1,69148E+12",(08/08/2023)_14/48/08,-39,-38,-51,-55,-45,-37,-51,-44
"1,69148E+12",(08/08/2023)_14/47/56,-40,-37,-51,-58,-42,-39,-52,-43
"1,69148E+12",(08/08/2023)_14/47/06,-40,-39,-52,-53,-44,-37,-52,-46
"1,69148E+12",(08/08/2023)_14/47/50,-40,-37,-50,-56,-45,-38,-53,-43
"1,69148E+12",(08/08/2023)_14/47/41,-40,-37,-50,-55,-43,-35,-52,-44
"1,69148E+12",(08/08/2023)_14/46/18,-44,-43,-50,-51,-44,-37,-53,-39
"1,69148E+12",(08/08/2023)_14/49/01,-41,-38,-52,-55,-44,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/46/31,-47,-47,-53,-56,-47,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/48/32,-40,-39,-52,-55,-43,-38,-51,-43
"1,69148E+12",(08/08/2023)_14/47/10,-40,-36,-52,-59,-44,-37,-50,-43
"1,69148E+12",(08/08/2023)_14/47/13,-39,-36,-52,-57,-44,-39,-51,-43
"1,69148E+12",(08/08/2023)_14/48/54,-40,-38,-50,-57,-44,-37,-50,-42
"1,69148E+12",(08/08/2023)_14/46/31,-47,-47,-53,-56,-47,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/48/20,-40,-38,-52,-56,-47,-37,-54,-43
"1,69148E+12",(08/08/2023)_14/47/28,-41,-38,-52,-55,-46,-38,-52,-43
"1,69148E+12",(08/08/2023)_14/48/36,-39,-36,-52,-58,-43,-38,-51,-43
"1,69148E+12",(08/08/2023)_14/48/20,-40,-38,-52,-56,-47,-37,-54,-43
"1,69148E+12",(08/08/2023)_14/47/38,-40,-38,-48,-55,-44,-39,-50,-43
"1,69148E+12",(08/08/2023)_14/49/32,-45,-39,-51,-57,-43,-38,-53,-43
"1,69148E+12",(08/08/2023)_14/47/28,-41,-38,-52,-55,-46,-38,-52,-43
"1,69148E+12",(08/08/2023)_14/47/23,-40,-36,-51,-56,-45,-37,-50,-43
"1,69148E+12",(08/08/2023)_14/46/05,-39,-39,-50,-56,-48,-37,-56,-44
