TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_14/46/05,-39,-39,-50,-56,-48,-37,-56,-44
"1,69148E+12",(08/08/2023)_14/47/26,-41,-36,-51,-55,-44,-37,-51,-47
"1,69148E+12",(08/08/2023)_14/46/51,-42,-37,-51,-57,-45,-36,-53,-46
"1,69148E+12",(08/08/2023)_14/48/02,-40,-37,-50,-55,-44,-38,-53,-44
"1,69148E+12",(08/08/2023)_14/49/01,-41,-38,-52,-55,-44,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/49/53,-42,-39,-50,-55,-45,-39,-52,-44
"1,69148E+12",(08/08/2023)_14/46/24,-45,-37,-55,-49,-42,-40,-51,-43
"1,69148E+12",(08/08/2023)_14/49/59,-41,-38,-52,-55,-46,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/47/13,-39,-36,-52,-57,-44,-39,-51,-43
"1,69148E+12",(08/08/2023)_14/49/59,-41,-38,-52,-55,-46,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/48/08,-39,-38,-51,-55,-45,-37,-51,-44
"1,69148E+12",(08/08/2023)_14/47/23,-40,-36,-51,-56,-45,-37,-50,-43
"1,69148E+12",(08/08/2023)_14/47/06,-40,-39,-52,-53,-44,-37,-52,-46
"1,69148E+12",(08/08/2023)_14/47/28,-41,-38,-52,-55,-46,-38,-52,-43
"1,69148E+12",(08/08/2023)_14/49/53,-42,-39,-50,-55,-45,-39,-52,-44
"1,69148E+12",(08/08/2023)_14/47/23,-40,-36,-51,-56,-45,-37,-50,-43
"1,69148E+12",(08/08/2023)_14/47/06,-40,-39,-52,-53,-44,-37,-52,-46
"1,69148E+12",(08/08/2023)_14/46/51,-42,-37,-51,-57,-45,-36,-53,-46
"1,69148E+12",(08/08/2023)_14/46/40,-42,-38,-51,-58,-44,-37,-53,-47
"1,69148E+12",(08/08/2023)_14/46/18,-44,-43,-50,-51,-44,-37,-53,-39
"1,69148E+12",(08/08/2023)_14/49/50,-43,-39,-50,-57,-41,-39,-52,-44
"1,69148E+12",(08/08/2023)_14/46/58,-39,-36,-48,-57,-40,-38,-51,-44
"1,69148E+12",(08/08/2023)_14/47/56,-40,-37,-51,-58,-42,-39,-52,-43
"1,69148E+12",(08/08/2023)_14/50/02,-39,-39,-52,-55,-42,-37,-51,-45
"1,69148E+12",(08/08/2023)_14/48/17,-39,-38,-51,-57,-42,-38,-52,-42
"1,69148E+12",(08/08/2023)_14/46/49,-41,-38,-51,-55,-42,-38,-53,-44
"1,69148E+12",(08/08/2023)_14/47/04,-40,-37,-53,-57,-44,-38,-52,-42
"1,69148E+12",(08/08/2023)_14/49/26,-41,-38,-51,-55,-44,-38,-52,-43
"1,69148E+12",(08/08/2023)_14/49/50,-43,-39,-50,-57,-41,-39,-52,-44
"1,69148E+12",(08/08/2023)_14/47/35,-41,-37,-51,-53,-45,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/47/35,-41,-37,-51,-53,-45,-38,-52,-44
"1,69148E+12",(08/08/2023)_14/45/56,-41,-42,-54,-50,-42,-36,-50,-45
"1,69148E+12",(08/08/2023)_14/49/22,-40,-34,-51,-55,-44,-37,-52,-46
"1,69148E+12",(08/08/2023)_14/47/13,-39,-36,-52,-57,-44,-39,-51,-43
"1,69148E+12",(08/08/2023)_14/47/28,-41,-38,-52,-55,-46,-38,-52,-43
"1,69148E+12",(08/08/2023)_14/48/17,-39,-38,-51,-57,-42,-38,-52,-42
"1,69148E+12",(08/08/2023)_14/49/13,-41,-36,-51,-56,-44,-37,-52,-45
"1,69148E+12",(08/08/2023)_14/46/12,-37,-40,-53,-51,-45,-37,-51,-44
"1,69148E+12",(08/08/2023)_14/49/50,-43,-39,-50,-57,-41,-39,-52,-44
"1,69148E+12",(08/08/2023)_14/45/59,-39,-37,-49,-59,-43,-36,-51,-45
"1,69148E+12",(08/08/2023)_14/46/27,-44,-40,-53,-49,-45,-39,-53,-43
"1,69148E+12",(08/08/2023)_14/45/59,-39,-37,-49,-59,-43,-36,-51,-45
